Unit,Question,Answer
VISUAL 1 - UNIT 1,"""Do you take a shower in the evening?""","""Yes, I take a shower in the evening."" / ""No, I don’t take a shower in the evening."""
VISUAL 1 - UNIT 1,"""What do you say at night?""","""I say 'Good Night' at night."""
VISUAL 1 - UNIT 1,"""What time do you go to sleep?""","""I go to sleep at night."" / ""I go to sleep in the evening."""
VISUAL 1 - UNIT 1,"""What time do you go to sleep at night?""","""I go to sleep at [time] at night."""
VISUAL 1 - UNIT 1,"""What time do you wear pyjamas?""","""I wear pyjamas in the evening."" / ""I wear pyjamas at night."""
VISUAL 1 - UNIT 1,"""Do you brush your teeth at night?""","""Yes, I brush my teeth at night."" / ""No, I don’t brush my teeth at night."""
VISUAL 1 - UNIT 1,"""Do you sit on the telephone at night?""","""Yes, I sit on the telephone at night."" / ""No, I don’t sit on the telephone at night."""
VISUAL 1 - UNIT 1,"""Do you watch TV at night?""","""Yes, I watch TV at night."" / ""No, I don’t watch TV at night."""
VISUAL 1 - UNIT 1,"""Do you read books at night?""","""Yes, I read books at night."" / ""No, I don’t read books at night."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a pen."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are pens."""
VISUAL 1 - UNIT 2,"""Is it a girl or boy pen?""","""It is a girl pen."" / ""It is a boy pen."""
VISUAL 1 - UNIT 2,"""Is it a dog or cat pen?""","""It is a dog pen."" / ""It is a cat pen."""
VISUAL 1 - UNIT 2,"""Is it a hotdog or hamburger pen?""","""It is a hotdog pen."" / ""It is a hamburger pen."""
VISUAL 1 - UNIT 2,"""Is it a lion or tiger pen?""","""It is a lion pen."" / ""It is a tiger pen."""
VISUAL 1 - UNIT 2,"""Do you have a pen in your pencil case?""","""Yes, I have a pen in my pencil case."" / ""No, I don’t have a pen in my pencil case."""
VISUAL 1 - UNIT 2,"""Do you have a blue pen?""","""Yes, I have a blue pen."" / ""No, I don’t have a blue pen."""
VISUAL 1 - UNIT 2,"""Do you have a black pen?""","""Yes, I have a black pen."" / ""No, I don’t have a black pen."""
VISUAL 1 - UNIT 2,"""Do you have a Lego pen?""","""Yes, I have a Lego pen."" / ""No, I don’t have a Lego pen."""
VISUAL 1 - UNIT 2,"""What color is the pen?""","""The pen is blue."""
VISUAL 1 - UNIT 2,"""What color are the pens?""","""The pens are [color]."""
VISUAL 1 - UNIT 2,"""How many pens are there?""","""There are 4 pens."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a pencil."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are pencils."""
VISUAL 1 - UNIT 2,"""Is it a dog or cat pencil?""","""It is a dog pencil."" / ""It is a cat pencil."""
VISUAL 1 - UNIT 2,"""Is it a happy or sad pencil?""","""It is a happy pencil."" / ""It is a sad pencil."""
VISUAL 1 - UNIT 2,"""Is it a small or big pencil?""","""It is a small pencil."" / ""It is a big pencil."""
VISUAL 1 - UNIT 2,"""Is it a red or black pencil?""","""It is a red pencil."" / ""It is a black pencil."""
VISUAL 1 - UNIT 2,"""Do you have a pencil in your pencil case?""","""Yes, I have a pencil in my pencil case."" / ""No, I don’t have a pencil in my pencil case."""
VISUAL 1 - UNIT 2,"""Do you have glitter pencils?""","""Yes, I have glitter pencils."" / ""No, I don’t have glitter pencils."""
VISUAL 1 - UNIT 2,"""Do you have a Lego pencil?""","""Yes, I have a Lego pencil."" / ""No, I don’t have a Lego pencil."""
VISUAL 1 - UNIT 2,"""Do you have a yellow pencil?""","""Yes, I have a yellow pencil."" / ""No, I don’t have a yellow pencil."""
VISUAL 1 - UNIT 2,"""Do you have a rainbow pencil?""","""Yes, I have a rainbow pencil."" / ""No, I don’t have a rainbow pencil."""
VISUAL 1 - UNIT 2,"""How many pencils are there?""","""There are 4 pencils."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a crayon."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are crayons."""
VISUAL 1 - UNIT 2,"""Are they big or small crayons?""","""They are big crayons."" / ""They are small crayons."""
VISUAL 1 - UNIT 2,"""Is it a big or small crayon?""","""It is a big crayon."" / ""It is a small crayon."""
VISUAL 1 - UNIT 2,"""What is in the red box?""","""There are crayons in the red box."""
VISUAL 1 - UNIT 2,"""Do you have glitter crayons?""","""Yes, I have glitter crayons."" / ""No, I don’t have glitter crayons."""
VISUAL 1 - UNIT 2,"""Do you have crayons?""","""Yes, I have crayons."" / ""No, I don’t have crayons."""
VISUAL 1 - UNIT 2,"""How many crayons are there?""","""There are 3 crayons."""
VISUAL 1 - UNIT 2,"""How many crayons are there?""","""There are 2 crayons."""
VISUAL 1 - UNIT 2,"""What color is the crayon?""","""The crayon is green."""
VISUAL 1 - UNIT 2,"""What color is the crayon?""","""The crayon is red."""
VISUAL 1 - UNIT 2,"""What color is the crayon?""","""The crayon is pink."""
VISUAL 1 - UNIT 2,"""What color are the crayons?""","""The crayons are [color]."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a book."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are books."""
VISUAL 1 - UNIT 2,"""Is it a normal or telephone book?""","""It is a normal book."" / ""It is a telephone book."""
VISUAL 1 - UNIT 2,"""Is it a big or small book?""","""It is a big book."" / ""It is a small book."""
VISUAL 1 - UNIT 2,"""Is it an open or closed book?""","""It is an open book."" / ""It is a closed book."""
VISUAL 1 - UNIT 2,"""Do you have a book in your bag?""","""Yes, I have a book in my bag."" / ""No, I don’t have a book in my bag."""
VISUAL 1 - UNIT 2,"""How many books are there?""","""There are 7 books."""
VISUAL 1 - UNIT 2,"""What color is the book?""","""The book is red."""
VISUAL 1 - UNIT 2,"""What color is the book?""","""The book is blue."""
VISUAL 1 - UNIT 2,"""What color is the book?""","""The book is pink."""
VISUAL 1 - UNIT 2,"""What color is the book?""","""The book is white."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a notebook."""
VISUAL 1 - UNIT 2,"""Is it a banana or apple book?""","""It is a banana book."" / ""It is an apple book."""
VISUAL 1 - UNIT 2,"""Is it a girl’s or boy’s notebook?""","""It is a girl’s notebook."" / ""It is a boy’s notebook."""
VISUAL 1 - UNIT 2,"""Is it an open or closed notebook?""","""It is an open notebook."" / ""It is a closed notebook."""
VISUAL 1 - UNIT 2,"""Is it a lion or crocodile notebook?""","""It is a lion notebook."" / ""It is a crocodile notebook."""
VISUAL 1 - UNIT 2,"""Is it a pizza or hamburger notebook?""","""It is a pizza notebook."" / ""It is a hamburger notebook."""
VISUAL 1 - UNIT 2,"""Do you have a notebook in your bag?""","""Yes, I have a notebook in my bag."" / ""No, I don’t have a notebook in my bag."""
VISUAL 1 - UNIT 2,"""Do you have an Elmo notebook?""","""Yes, I have an Elmo notebook."" / ""No, I don’t have an Elmo notebook."""
VISUAL 1 - UNIT 2,"""Do you have a unicorn notebook?""","""Yes, I have a unicorn notebook."" / ""No, I don’t have a unicorn notebook."""
VISUAL 1 - UNIT 2,"""Do you have an English notebook?""","""Yes, I have an English notebook."" / ""No, I don’t have an English notebook."""
VISUAL 1 - UNIT 2,"""What color is the notebook?""","""The notebook is grey."""
VISUAL 1 - UNIT 2,"""Do you have a maths notebook?""","""Yes, I have a maths notebook."" / ""No, I don’t have a maths notebook."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is glue."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are glue sticks."""
VISUAL 1 - UNIT 2,"""Do you prefer white glue or a glue stick?""","""I prefer white glue."" / ""I prefer a glue stick."""
VISUAL 1 - UNIT 2,"""Do you have glue in your pencil case?""","""Yes, I have glue in my pencil case."" / ""No, I don’t have glue in my pencil case."""
VISUAL 1 - UNIT 2,"""Do you have glitter glue?""","""Yes, I have glitter glue."" / ""No, I don’t have glitter glue."""
VISUAL 1 - UNIT 2,"""Do you have white glue?""","""Yes, I have white glue."" / ""No, I don’t have white glue."""
VISUAL 1 - UNIT 2,"""Do you have a glue gun?""","""Yes, I have a glue gun."" / ""No, I don’t have a glue gun."""
VISUAL 1 - UNIT 2,"""Do you have a glue stick?""","""Yes, I have a glue stick."" / ""No, I don’t have a glue stick."""
VISUAL 1 - UNIT 2,"""What color is the glue?""","""The glue is white."""
VISUAL 1 - UNIT 2,"""What color is the glue?""","""The glue is blue."""
VISUAL 1 - UNIT 2,"""Is it glue or ketchup?""","""It is glue."" / ""It is ketchup."""
VISUAL 1 - UNIT 2,"""Is it normal or slime glue?""","""It is normal glue."" / ""It is slime glue."""
VISUAL 1 - UNIT 2,"""How many glue sticks are there?""","""There are 8 glue sticks."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is an eraser."""
VISUAL 1 - UNIT 2,"""Is it a cat or dog eraser?""","""It is a cat eraser."" / ""It is a dog eraser."""
VISUAL 1 - UNIT 2,"""Is it a big or small eraser?""","""It is a big eraser."" / ""It is a small eraser."""
VISUAL 1 - UNIT 2,"""Is it a happy or sad eraser?""","""It is a happy eraser."" / ""It is a sad eraser."""
VISUAL 1 - UNIT 2,"""Do you have an eraser in your pencil case?""","""Yes, I have an eraser in my pencil case."" / ""No, I don’t have an eraser in my pencil case."""
VISUAL 1 - UNIT 2,"""Is it an ice cream or cake eraser?""","""It is an ice cream eraser."" / ""It is a cake eraser."""
VISUAL 1 - UNIT 2,"""What color are the erasers?""","""The erasers are [color]."""
VISUAL 1 - UNIT 2,"""Is it a man or woman eraser?""","""It is a man eraser."" / ""It is a woman eraser."""
VISUAL 1 - UNIT 2,"""What color is the eraser?""","""The eraser is light blue."""
VISUAL 1 - UNIT 2,"""Where is the eraser?""","""The eraser is on the pen."" / ""The eraser is on the pencil."""
VISUAL 1 - UNIT 2,"""How many erasers are there?""","""There are 6 erasers."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a sharpener."""
VISUAL 1 - UNIT 2,"""Is it a metal or plastic sharpener?""","""It is a metal sharpener."" / ""It is a plastic sharpener."""
VISUAL 1 - UNIT 2,"""Is it a dragon or dinosaur sharpener?""","""It is a dragon sharpener."" / ""It is a dinosaur sharpener."""
VISUAL 1 - UNIT 2,"""Is it an eye or nose sharpener?""","""It is an eye sharpener."" / ""It is a nose sharpener."""
VISUAL 1 - UNIT 2,"""Is it a Roblox or Minecraft sharpener?""","""It is a Roblox sharpener."" / ""It is a Minecraft sharpener."""
VISUAL 1 - UNIT 2,"""Is it a happy or sad sharpener?""","""It is a happy sharpener."" / ""It is a sad sharpener."""
VISUAL 1 - UNIT 2,"""Do you have a Lego sharpener?""","""Yes, I have a Lego sharpener."" / ""No, I don’t have a Lego sharpener."""
VISUAL 1 - UNIT 2,"""Do you have a sharpener in your pencil case?""","""Yes, I have a sharpener in my pencil case."" / ""No, I don’t have a sharpener in my pencil case."""
VISUAL 1 - UNIT 2,"""How many sharpeners are there?""","""There are 2 sharpeners."""
VISUAL 1 - UNIT 2,"""How many sharpeners are there?""","""There are 5 sharpeners."""
VISUAL 1 - UNIT 2,"""What color is the sharpener?""","""The sharpener is purple."""
VISUAL 1 - UNIT 2,"""What color are the sharpeners?""","""The sharpeners are [color]."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a bag."""
VISUAL 1 - UNIT 2,"""What school bag do you like?""","""I like [type of bag]."""
VISUAL 1 - UNIT 2,"""Is it a dog or cat school bag?""","""It is a dog school bag."" / ""It is a cat school bag."""
VISUAL 1 - UNIT 2,"""Is it a tiger or lion school bag?""","""It is a tiger school bag."" / ""It is a lion school bag."""
VISUAL 1 - UNIT 2,"""Is it a girl’s or boy’s school bag?""","""It is a girl’s school bag."" / ""It is a boy’s school bag."""
VISUAL 1 - UNIT 2,"""Is it a boy or girl school bag?""","""It is a boy school bag."" / ""It is a girl school bag."""
VISUAL 1 - UNIT 2,"""Do you have a school bag?""","""Yes, I have a school bag."" / ""No, I don’t have a school bag."""
VISUAL 1 - UNIT 2,"""Is it a Spiderman or Superman school bag?""","""It is a Spiderman school bag."" / ""It is a Superman school bag."""
VISUAL 1 - UNIT 2,"""Is it a Nike or Adidas school bag?""","""It is a Nike school bag."" / ""It is an Adidas school bag."""
VISUAL 1 - UNIT 2,"""What color is the school bag?""","""The school bag is pink."""
VISUAL 1 - UNIT 2,"""What color is the school bag?""","""The school bag is purple."""
VISUAL 1 - UNIT 2,"""What color is the school bag?""","""The school bag is red."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a ruler."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are rulers."""
VISUAL 1 - UNIT 2,"""Is it a big or small ruler?""","""It is a big ruler."" / ""It is a small ruler."""
VISUAL 1 - UNIT 2,"""Is it a Minecraft or Roblox ruler?""","""It is a Minecraft ruler."" / ""It is a Roblox ruler."""
VISUAL 1 - UNIT 2,"""Is it a sleeping or dancing ruler?""","""It is a sleeping ruler."" / ""It is a dancing ruler."""
VISUAL 1 - UNIT 2,"""Is it a tiger or lion ruler?""","""It is a tiger ruler."" / ""It is a lion ruler."""
VISUAL 1 - UNIT 2,"""Is it a cat or dog ruler?""","""It is a cat ruler."" / ""It is a dog ruler."""
VISUAL 1 - UNIT 2,"""Is it a girl’s or boy’s ruler?""","""It is a girl’s ruler."" / ""It is a boy’s ruler."""
VISUAL 1 - UNIT 2,"""Do you have a ruler in your pencil case?""","""Yes, I have a ruler in my pencil case."" / ""No, I don’t have a ruler in my pencil case."""
VISUAL 1 - UNIT 2,"""Is it a plastic or metal ruler?""","""It is a plastic ruler."" / ""It is a metal ruler."""
VISUAL 1 - UNIT 2,"""What color is the ruler?""","""The ruler is gold."""
VISUAL 1 - UNIT 2,"""What ruler do you like?""","""I like [type of ruler]."""
VISUAL 1 - UNIT 2,"""How many rulers are there?""","""There are 5 rulers."""
VISUAL 1 - UNIT 2,"""What is it?""","""It is a pencil case."""
VISUAL 1 - UNIT 2,"""Do you like this pencil case?""","""Yes, I like this pencil case."" / ""No, I don’t like this pencil case."""
VISUAL 1 - UNIT 2,"""Is it a dog or car pencil case?""","""It is a dog pencil case."" / ""It is a car pencil case."""
VISUAL 1 - UNIT 2,"""Do you have a monster pencil case?""","""Yes, I have a monster pencil case."" / ""No, I don’t have a monster pencil case."""
VISUAL 1 - UNIT 2,"""Is it a pizza or tortilla pencil case?""","""It is a pizza pencil case."" / ""It is a tortilla pencil case."""
VISUAL 1 - UNIT 2,"""Do you have a pencil case in your bag?""","""Yes, I have a pencil case in my bag."" / ""No, I don’t have a pencil case in my bag."""
VISUAL 1 - UNIT 2,"""Do you have a LED pencil case?""","""Yes, I have a LED pencil case."" / ""No, I don’t have a LED pencil case."""
VISUAL 1 - UNIT 2,"""Do you have a cat pencil case?""","""Yes, I have a cat pencil case."" / ""No, I don’t have a cat pencil case."""
VISUAL 1 - UNIT 2,"""Do you have a rainbow pencil case?""","""Yes, I have a rainbow pencil case."" / ""No, I don’t have a rainbow pencil case."""
VISUAL 1 - UNIT 2,"""Is it a fish or snake pencil case?""","""It is a fish pencil case."" / ""It is a snake pencil case."""
VISUAL 1 - UNIT 2,"""Is it a panda or koala pencil case?""","""It is a panda pencil case."" / ""It is a koala pencil case."""
VISUAL 1 - UNIT 2,"""What color is the pencil case?""","""The pencil case is pink."""
VISUAL 1 - UNIT 2,"""What color is the pencil case?""","""The pencil case is green."""
VISUAL 1 - UNIT 2,"""What are they?""","""They are scissors."""
VISUAL 1 - UNIT 2,"""Are they big or small scissors?""","""They are big scissors."" / ""They are small scissors."""
VISUAL 1 - UNIT 2,"""Are they horse or unicorn scissors?""","""They are horse scissors."" / ""They are unicorn scissors."""
VISUAL 1 - UNIT 2,"""Are they panda or koala scissors?""","""They are panda scissors."" / ""They are koala scissors."""
VISUAL 1 - UNIT 2,"""Do you have scissors in your pencil case?""","""Yes, I have scissors in my pencil case."" / ""No, I don’t have scissors in my pencil case."""
VISUAL 1 - UNIT 2,"""Do you have green scissors?""","""Yes, I have green scissors."" / ""No, I don’t have green scissors."""
VISUAL 1 - UNIT 2,"""What color are the scissors?""","""The scissors are purple."""
VISUAL 1 - UNIT 2,"""What color are the scissors?""","""The scissors are [color]."""
VISUAL 1 - UNIT 2,"""What color are the scissors?""","""The scissors are yellow."""
VISUAL 1 - UNIT 2,"""What scissors do you like?""","""I like [type of scissors]."""
VISUAL 1 - UNIT 2,"""How many scissors are there?""","""There are 4 scissors."""
VISUAL 1 - UNIT 2,"""How many scissors are there?""","""There are 3 scissors."""
VISUAL 1 - UNIT 3,"""Is the man sitting down or standing up?""","""The man is sitting down."" / ""The man is standing up."""
VISUAL 1 - UNIT 3,"""Is the woman standing or sitting by the desk?""","""The woman is standing."" / ""The woman is sitting."""
VISUAL 1 - UNIT 3,"""Is the boy sitting or standing on the chair?""","""The boy is sitting."" / ""The boy is standing."""
VISUAL 1 - UNIT 3,"""Is the girl standing or sitting in the rain?""","""The girl is standing."" / ""The girl is sitting."""
VISUAL 1 - UNIT 3,"""Is the frog standing or sitting?""","""The frog is standing."" / ""The frog is sitting."""
VISUAL 1 - UNIT 3,"""Is the farmer sitting or standing?""","""The farmer is sitting."" / ""The farmer is standing."""
VISUAL 1 - UNIT 3,"""Is the giant sitting or standing?""","""The giant is sitting."" / ""The giant is standing."""
VISUAL 1 - UNIT 3,"""Is the pig sitting or standing?""","""The pig is sitting."" / ""The pig is standing."""
VISUAL 1 - UNIT 3,"""Is the owl sitting or standing?""","""The owl is sitting."" / ""The owl is standing."""
VISUAL 1 - UNIT 3,"""Is the rabbit standing or sitting?""","""The rabbit is standing."" / ""The rabbit is sitting."""
VISUAL 1 - UNIT 3,"""Is he a standing king or a sitting king?""","""He is a standing king."" / ""He is a sitting king."""
VISUAL 1 - UNIT 3,"""Is she a sitting princess or a standing princess?""","""She is a sitting princess."" / ""She is a standing princess."""
VISUAL 1 - UNIT 3,"""Is she a sitting queen or a standing queen?""","""She is a sitting queen."" / ""She is a standing queen."""
VISUAL 1 - UNIT 3,"""Is the prince sitting or standing on the horse?""","""The prince is sitting."" / ""The prince is standing."""
VISUAL 1 - UNIT 3,"""Are the windows open or closed?""","""The windows are open."" / ""The windows are closed."""
VISUAL 1 - UNIT 3,"""What does this video represent?""","""This video represents a song about opening and closing things."""
VISUAL 1 - UNIT 3,"""Is the door open or closed?""","""The door is open."" / ""The door is closed."""
VISUAL 1 - UNIT 3,"""Is the mouth open or closed?""","""The mouth is open."" / ""The mouth is closed."""
VISUAL 1 - UNIT 3,"""Is the book open or closed?""","""The book is open."" / ""The book is closed."""
VISUAL 1 - UNIT 3,"""Is the window open or closed?""","""The window is open."" / ""The window is closed."""
VISUAL 1 - UNIT 3,"""Are the doors open or closed?""","""The doors are open."" / ""The doors are closed."""
VISUAL 1 - UNIT 3,"""Are the eyes open or closed?""","""The eyes are open."" / ""The eyes are closed."""
VISUAL 1 - UNIT 3,"""Is the shop open or closed?""","""The shop is open."" / ""The shop is closed."""
VISUAL 1 - UNIT 3,"""Is the notebook open or closed?""","""The notebook is open."" / ""The notebook is closed."""
VISUAL 1 - UNIT 3,"""Is he opening or closing the bottle?""","""He is opening the bottle."" / ""He is closing the bottle."""
VISUAL 1 - UNIT 3,"""Is the car open or closed?""","""The car is open."" / ""The car is closed."""
VISUAL 1 - UNIT 3,"""Is it an open or closed gate?""","""It is an open gate."" / ""It is a closed gate."""
VISUAL 1 - UNIT 3,"""Are the boy’s hands up or down?""","""The boy’s hands are up."" / ""The boy’s hands are down."""
VISUAL 1 - UNIT 3,"""Are the man’s hands up or down?""","""The man’s hands are up."" / ""The man’s hands are down."""
VISUAL 1 - UNIT 3,"""Are the hands up or down?""","""The hands are up."" / ""The hands are down."""
VISUAL 1 - UNIT 3,"""Are the man’s thumbs up or down?""","""The man’s thumbs are up."" / ""The man’s thumbs are down."""
VISUAL 1 - UNIT 3,"""Are his thumbs up or down?""","""His thumbs are up."" / ""His thumbs are down."""
VISUAL 1 - UNIT 3,"""Is the cat climbing up or down the tree?""","""The cat is climbing up the tree."" / ""The cat is climbing down the tree."""
VISUAL 1 - UNIT 3,"""Is the woman going up or down?""","""The woman is going up."" / ""The woman is going down."""
VISUAL 1 - UNIT 3,"""Is the lizard going up or down the roller coaster?""","""The lizard is going up the roller coaster."" / ""The lizard is going down the roller coaster."""
VISUAL 1 - UNIT 3,"""Are the boys’ hands up or down?""","""The boys’ hands are up."" / ""The boys’ hands are down."""
VISUAL 1 - UNIT 3,"""Is the plane flying up or down?""","""The plane is flying up."" / ""The plane is flying down."""
VISUAL 1 - UNIT 3,"""Is the pony going up or down the escalator?""","""The pony is going up the escalator."" / ""The pony is going down the escalator."""
VISUAL 1 - UNIT 3,"""Are the woman’s hands up or down?""","""The woman’s hands are up."" / ""The woman’s hands are down."""
VISUAL 1 - UNIT 3,"""Are the sheep’s hands up or down?""","""The sheep’s hands are up."" / ""The sheep’s hands are down."""
VISUAL 1 - UNIT 3,"""What is the monster saying?""","""The monster is saying, 'I don’t understand.'"""
VISUAL 1 - UNIT 3,"""What is the man saying?""","""The man is saying, 'Be quiet.'"""
VISUAL 1 - UNIT 3,"""What is the monster saying?""","""The monster is saying, 'Excuse me.'"""
VISUAL 1 - UNIT 3,"""What is the bunny saying?""","""The bunny is saying, 'I don’t understand.'"""
VISUAL 1 - UNIT 3,"""What is the boy saying?""","""The boy is saying, 'Be quiet.'"""
VISUAL 1 - UNIT 3,"""What is the man saying?""","""The man is saying, 'I don’t understand.'"""
VISUAL 1 - UNIT 3,"""What is the woman saying?""","""The woman is saying, 'Be quiet.'"""
VISUAL 1 - UNIT 3,"""What is the bear saying?""","""The bear is saying, 'I don’t understand.'"""
VISUAL 1 - UNIT 3,"""What is the bird saying?""","""The bird is saying, 'I don’t understand.'"""
VISUAL 1 - UNIT 4,"""Is the dog happy or sad?""","""The dog is happy."" / ""The dog is sad."""
VISUAL 1 - UNIT 4,"""Is the baby happy or sad?""","""The baby is happy."" / ""The baby is sad."""
VISUAL 1 - UNIT 4,"""Is the monster sad or happy?""","""The monster is sad."" / ""The monster is happy."""
VISUAL 1 - UNIT 4,"""Is the girl happy or sad?""","""The girl is happy."" / ""The girl is sad."""
VISUAL 1 - UNIT 4,"""Is the monster happy or sad?""","""The monster is happy."" / ""The monster is sad."""
VISUAL 1 - UNIT 4,"""Is the man sad or happy?""","""The man is sad."" / ""The man is happy."""
VISUAL 1 - UNIT 4,"""Is the cactus happy or sad?""","""The cactus is happy."" / ""The cactus is sad."""
VISUAL 1 - UNIT 4,"""Is the clown happy or sad?""","""The clown is happy."" / ""The clown is sad."""
VISUAL 1 - UNIT 4,"""Is it a happy or sad eagle?""","""It is a happy eagle."" / ""It is a sad eagle."""
VISUAL 1 - UNIT 4,"""Is it a happy or sad snake?""","""It is a happy snake."" / ""It is a sad snake."""
VISUAL 1 - UNIT 4,"""Is it a happy or sad elephant?""","""It is a happy elephant."" / ""It is a sad elephant."""
VISUAL 1 - UNIT 4,"""Are they sad or happy?""","""They are sad."" / ""They are happy."""
VISUAL 1 - UNIT 4,"""Is the man cold or hot?""","""The man is cold."" / ""The man is hot."""
VISUAL 1 - UNIT 4,"""Is the woman cold or hot?""","""The woman is cold."" / ""The woman is hot."""
VISUAL 1 - UNIT 4,"""Is the man hot or cold?""","""The man is hot."" / ""The man is cold."""
VISUAL 1 - UNIT 4,"""Is the animal cold or hot?""","""The animal is cold."" / ""The animal is hot."""
VISUAL 1 - UNIT 4,"""Is the cow hot or cold?""","""The cow is hot."" / ""The cow is cold."""
VISUAL 1 - UNIT 4,"""Is the boy hot or cold?""","""The boy is hot."" / ""The boy is cold."""
VISUAL 1 - UNIT 4,"""Is the girl cold or hot?""","""The girl is cold."" / ""The girl is hot."""
VISUAL 1 - UNIT 4,"""Is the potato hot or cold?""","""The potato is hot."" / ""The potato is cold."""
VISUAL 1 - UNIT 4,"""Is the woman hot or cold?""","""The woman is hot."" / ""The woman is cold."""
VISUAL 1 - UNIT 4,"""Is he hot or cold?""","""He is hot."" / ""He is cold."""
VISUAL 1 - UNIT 4,"""Is the hamburger hungry or thirsty?""","""The hamburger is hungry."" / ""The hamburger is thirsty."""
VISUAL 1 - UNIT 4,"""Is the girl thirsty or hungry?""","""The girl is thirsty."" / ""The girl is hungry."""
VISUAL 1 - UNIT 4,"""Is the cat hungry or thirsty?""","""The cat is hungry."" / ""The cat is thirsty."""
VISUAL 1 - UNIT 4,"""Is the mouse hungry or thirsty?""","""The mouse is hungry."" / ""The mouse is thirsty."""
VISUAL 1 - UNIT 4,"""Are they hungry or thirsty?""","""They are hungry."" / ""They are thirsty."""
VISUAL 1 - UNIT 4,"""Is the monster thirsty or hungry?""","""The monster is thirsty."" / ""The monster is hungry."""
VISUAL 1 - UNIT 4,"""Is the dragon hungry or thirsty?""","""The dragon is hungry."" / ""The dragon is thirsty."""
VISUAL 1 - UNIT 4,"""Is the bee thirsty or hungry?""","""The bee is thirsty."" / ""The bee is hungry."""
VISUAL 1 - UNIT 4,"""Is the man thirsty or hungry?""","""The man is thirsty."" / ""The man is hungry."""
VISUAL 1 - UNIT 4,"""Is the panda thirsty or hungry?""","""The panda is thirsty."" / ""The panda is hungry."""
VISUAL 1 - UNIT 4,"""Is Patrick scared or tired?""","""Patrick is scared."" / ""Patrick is tired."""
VISUAL 1 - UNIT 4,"""Is the monster tired or scared?""","""The monster is tired."" / ""The monster is scared."""
