Unit,Question,Answer
VISUAL 4 - UNIT 1,"""What is the nationality of Scotland?""","""The nationality of Scotland is Scottish."""
VISUAL 4 - UNIT 1,"""What is the name of this country?""","""This country is England."""
VISUAL 4 - UNIT 1,"""What is the capital of England?""","""The capital of England is London."""
VISUAL 4 - UNIT 1,"""What is his nationality?""","""His nationality is English."""
VISUAL 4 - UNIT 1,"""Where is he from?""","""He is from England."""
VISUAL 4 - UNIT 1,"""Where are they from?""","""They are from England."""
VISUAL 4 - UNIT 1,"""Is an English breakfast big or small?""","""An English breakfast is big."""
VISUAL 4 - UNIT 1,"""What type of food is this?""","""This is English food."""
VISUAL 4 - UNIT 1,"""Where is this building from?""","""This building is from England."""
VISUAL 4 - UNIT 1,"""Where is Buckingham Palace?""","""Buckingham Palace is in London, England."""
VISUAL 4 - UNIT 1,"""Where is the English player?""","""The English player is on the left."""
VISUAL 4 - UNIT 1,"""What is the nationality of England?""","""The nationality of England is English."""
VISUAL 4 - UNIT 1,"""What is the name of this country?""","""This country is Wales."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from Wales."""
VISUAL 4 - UNIT 1,"""What is the capital of Wales?""","""The capital of Wales is Cardiff."""
VISUAL 4 - UNIT 1,"""What is his nationality?""","""His nationality is Welsh."""
VISUAL 4 - UNIT 1,"""Where are they from?""","""They are from Wales."""
VISUAL 4 - UNIT 1,"""What language does she speak?""","""She speaks Welsh."""
VISUAL 4 - UNIT 1,"""What is the name of this country?""","""This country is Australia."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from Australia."""
VISUAL 4 - UNIT 1,"""What is the capital of Australia?""","""The capital of Australia is Canberra."""
VISUAL 4 - UNIT 1,"""Where is this boomerang from?""","""This boomerang is from Australia."""
VISUAL 4 - UNIT 1,"""Where is this money from?""","""This money is from Australia."""
VISUAL 4 - UNIT 1,"""Where is this building from?""","""This building is from Sydney, Australia."""
VISUAL 4 - UNIT 1,"""Where is this food from?""","""This food is from Australia."""
VISUAL 4 - UNIT 1,"""Name three Australian animals.""","""Three Australian animals are kangaroos, koalas, and wombats."""
VISUAL 4 - UNIT 1,"""What is the nationality of Australia?""","""The nationality of Australia is Australian."""
VISUAL 4 - UNIT 1,"""What is the name of this country?""","""This country is the USA."""
VISUAL 4 - UNIT 1,"""Where is this flag from?""","""This flag is from the USA."""
VISUAL 4 - UNIT 1,"""How many stars are on the American flag?""","""There are 50 stars on the American flag."""
VISUAL 4 - UNIT 1,"""What is the capital of the USA?""","""The capital of the USA is Washington, D.C."""
VISUAL 4 - UNIT 1,"""What is his nationality?""","""His nationality is American."""
VISUAL 4 - UNIT 1,"""What type of snacks are these?""","""These snacks are American."""
VISUAL 4 - UNIT 1,"""Where is this money from?""","""This money is from the USA."""
VISUAL 4 - UNIT 1,"""What is the nationality of the USA?""","""The nationality of the USA is American."""
VISUAL 4 - UNIT 1,"""What countries are on the British flag?""","""The countries on the British flag are England, Scotland, and Northern Ireland."""
VISUAL 4 - UNIT 1,"""What flags represent Britain?""","""The flags that represent Britain are the Union Jack and the flags of its countries."""
VISUAL 4 - UNIT 1,"""What countries are on the British Isles?""","""The countries on the British Isles are England, Scotland, Wales, and Ireland."""
VISUAL 4 - UNIT 1,"""What does this map show?""","""This map shows the United Kingdom and its regions."""
VISUAL 4 - UNIT 1,"""What activity is this?""", 
VISUAL 4 - UNIT 1,"""What is this quiz about?""", 
VISUAL 4 - UNIT 1,"""What is your nationality?""", 
VISUAL 4 - UNIT 1,"""Where are you from?""", 
VISUAL 4 - UNIT 1,"""What are the capital cities of the UK?""", 
VISUAL 4 - UNIT 1,"""What countries are in the UK?""", 
VISUAL 4 - UNIT 1,"""What flags represent the UK?""", 
VISUAL 4 - UNIT 1,"""What is this document?""", 
VISUAL 4 - UNIT 1,"""Can you speak [insert language]?""", 
VISUAL 4 - UNIT 1,"""What is the name of the British flag?""","""The name of the British flag is the Union Jack."""
VISUAL 4 - UNIT 1,Corrected Question,Corrected Answer
VISUAL 4 - UNIT 2,"""What is this?""","""This is a phone."""
VISUAL 4 - UNIT 2,"""Do you have a phone?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What phone do you have?""","""I have [insert phone model]."""
VISUAL 4 - UNIT 2,"""Who has got a phone in your house?""","""My [insert family member] has got a phone."""
VISUAL 4 - UNIT 2,"""Are these old or new mobile phones?""","""These are old mobile phones."" / ""These are new mobile phones."""
VISUAL 4 - UNIT 2,"""Do you do your shopping on your phone?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you play games with your phone?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What is this gadget?""","""This is a mobile phone."""
VISUAL 4 - UNIT 2,"""Are mobile phones cheap or expensive?""","""Mobile phones are cheap."" / ""Mobile phones are expensive."""
VISUAL 4 - UNIT 2,"""Do you take selfies with your phone?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you listen to music with your phone?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you take photos with your phone?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What is the person doing?""","""The person is messaging or texting."""
VISUAL 4 - UNIT 2,"""How often do you message or text your friends?""","""I message or text my friends [insert frequency]."""
VISUAL 4 - UNIT 2,"""What messenger or text apps do you use?""","""I use [insert app name]."""
VISUAL 4 - UNIT 2,"""Do you phone your friends?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""How often do you speak on the phone with your friends?""","""I speak on the phone with my friends [insert frequency]."""
VISUAL 4 - UNIT 2,"""Do you speak to your friends on video chat?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you prefer to speak normally on the phone or video chat?""","""I prefer to speak normally on the phone."" / ""I prefer to speak on video chat."""
VISUAL 4 - UNIT 2,"""Do you speak to your family on the phone or message/text them?""","""I speak to my family on the phone."" / ""I message/text my family."""
VISUAL 4 - UNIT 2,"""What is this action?""","""This action is phoning."""
VISUAL 4 - UNIT 2,"""What is this?""","""This is a charger."""
VISUAL 4 - UNIT 2,"""Do you have a charger?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you have a wireless charger?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""How strong is your battery?""","""My battery lasts for 1 hour or 5 hours."""
VISUAL 4 - UNIT 2,"""What color is your charger?""","""My charger is [insert color]."""
VISUAL 4 - UNIT 2,"""Is your phone battery full or empty?""","""My phone battery is full."" / ""My phone battery is empty."""
VISUAL 4 - UNIT 2,"""Do you have headphones?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What are these?""","""These are earphones."""
VISUAL 4 - UNIT 2,"""Do you have earphones?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What do you prefer to use—earphones, earbuds, or headphones?""","""I prefer earphones."" / ""I prefer earbuds."" / ""I prefer headphones."""
VISUAL 4 - UNIT 2,"""Do you prefer wireless or wired earphones?""","""I prefer wireless earphones."" / ""I prefer wired earphones."""
VISUAL 4 - UNIT 2,"""What is she doing?""","""She is chatting with headphones."""
VISUAL 4 - UNIT 2,"""Do you chat with headphones?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you use headphones when using the laptop?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What is this action?""","""This action is chatting."""
VISUAL 4 - UNIT 2,"""What is he doing?""","""He is listening to music with headphones."""
VISUAL 4 - UNIT 2,"""Do you have JBL speakers?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you have speakers in your living room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""Do you have speakers in your room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""How many speakers are on the radio?""","""There are [insert number] speakers on the radio."""
VISUAL 4 - UNIT 2,"""What is this gadget?""","""This is a speaker."""
VISUAL 4 - UNIT 2,"""Do you prefer speakers or headphones?""","""I prefer speakers."" / ""I prefer headphones."""
VISUAL 4 - UNIT 2,"""What is this?""","""This is an email address."""
VISUAL 4 - UNIT 2,"""Do you have a Gmail address?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What is the woman’s email address?""","""Her email address is [insert email]."""
VISUAL 4 - UNIT 2,"""What is your email address?""","""My email address is [insert email]."""
VISUAL 4 - UNIT 2,"""How often do you check your email?""","""I check my email [insert frequency]."""
VISUAL 4 - UNIT 2,"""Do you open spam emails?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What is this?""","""This is a game console."""
VISUAL 4 - UNIT 2,"""What is this?""","""This is an Xbox game console."""
VISUAL 4 - UNIT 2,"""What is this?""","""This is a PlayStation game console."""
VISUAL 4 - UNIT 2,"""Do you have a game console at home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What is he doing?""","""He is taking a photo of things."""
VISUAL 4 - UNIT 2,"""Are you good at or bad at taking photos?""","""I am good at taking photos."" / ""I am bad at taking photos."""
VISUAL 4 - UNIT 2, , 
VISUAL 4 - UNIT 2,"""What is this?""","""This is a pendrive."""
VISUAL 4 - UNIT 2,"""Do you have a pendrive at home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""How big is your pendrive?""","""My pendrive is [insert size] GB."""
VISUAL 4 - UNIT 2,"""Describe this drive.""","""This drive is shaped like Ironman."""
VISUAL 4 - UNIT 2,"""Describe this drive.""","""This drive is golden in color."""
VISUAL 4 - UNIT 2,"""Describe this drive.""","""This drive is shaped like a koala."""
VISUAL 4 - UNIT 2,"""Describe this drive.""","""This drive has a green tail."""
VISUAL 4 - UNIT 2,"""What is this gadget?""","""This is a pen drive."""
VISUAL 4 - UNIT 2,"""Is this drive colorful or plain?""","""This drive is colorful."" / ""This drive is plain."""
VISUAL 4 - UNIT 2,"""Describe this drive.""","""This drive has a silver star design."""
VISUAL 4 - UNIT 2,"""Describe this drive.""","""This drive looks like a Lego piece."""
VISUAL 4 - UNIT 2,"""What is he doing?""","""He is saving information on the drive."""
VISUAL 4 - UNIT 2,"""Do you save information on the pendrive?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 2,"""What activity is this?""", 
VISUAL 4 - UNIT 2,"""What is this document?""", 
VISUAL 4 - UNIT 2,Corrected Question,Corrected Answer
VISUAL 4 - UNIT 3, , 
VISUAL 4 - UNIT 3,"""What is this?""","""This is a village."""
VISUAL 4 - UNIT 3,"""Do you live in a village?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Can you name some villages in Poland?""","""Some villages in Poland are [insert names]."""
VISUAL 4 - UNIT 3,"""Is village life noisy or quiet?""","""Village life is quiet."" / ""Village life is noisy."""
VISUAL 4 - UNIT 3,"""Are there few or many people in a village?""","""There are few people in a village."" / ""There are many people in a village."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a town."""
VISUAL 4 - UNIT 3,"""Can you name some towns in Poland?""","""Some towns in Poland are [insert names]."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a city."""
VISUAL 4 - UNIT 3,"""What is the biggest city in Poland?""","""The biggest city in Poland is Warsaw."""
VISUAL 4 - UNIT 3,"""Can you name some cities in Poland?""","""Some cities in Poland are [insert names]."""
VISUAL 4 - UNIT 3,"""What activity is this?""","""This is a conversation about your house."""
VISUAL 4 - UNIT 3,"""Where do you live—in a city, town, or village?""","""I live in a [city/town/village]."""
VISUAL 4 - UNIT 3,"""Do you prefer to live in a small village or a big city?""","""I prefer to live in a small village."" / ""I prefer to live in a big city."""
VISUAL 4 - UNIT 3,"""Where is your school—in a village, town, or city?""","""My school is in a [village/town/city]."""
VISUAL 4 - UNIT 3,"""What are Kraków, Skawina, Wadowice, and Liszki?""","""Kraków, Skawina, Wadowice, and Liszki are places in Poland."""
VISUAL 4 - UNIT 3,"""What is your home address?""","""My home address is [insert address]."""
VISUAL 4 - UNIT 3,"""What type of house is this?""","""This is a detached house."""
VISUAL 4 - UNIT 3,"""Do you live in a detached house?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Are there many or few detached houses near your house?""","""There are many detached houses near my house."" / ""There are few detached houses near my house."""
VISUAL 4 - UNIT 3,"""What type of house is this?""","""This is a semi-detached house."""
VISUAL 4 - UNIT 3,"""Do you live in a semi-detached house?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Are there many or few semi-detached houses near your house?""","""There are many semi-detached houses near my house."" / ""There are few semi-detached houses near my house."""
VISUAL 4 - UNIT 3,"""What type of house is this?""","""This is a terraced house."""
VISUAL 4 - UNIT 3,"""Do you live in a terraced house?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Are there many or few terraced houses near your house?""","""There are many terraced houses near my house."" / ""There are few terraced houses near my house."""
VISUAL 4 - UNIT 3,"""What type of house is this?""","""This is a block of flats."""
VISUAL 4 - UNIT 3,"""Do you live in a block of flats?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Are there many or few blocks of flats near your house?""","""There are many blocks of flats near my house."" / ""There are few blocks of flats near my house."""
VISUAL 4 - UNIT 3,"""What type of house is this?""","""This is a bungalow."""
VISUAL 4 - UNIT 3,"""Do you live in a bungalow?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Are there many or few bungalows near your house?""","""There are many bungalows near my house."" / ""There are few bungalows near my house."""
VISUAL 4 - UNIT 3,"""What types of houses are shown?""","""The types of houses shown are [insert types]."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a bathroom."""
VISUAL 4 - UNIT 3,"""How many bathrooms are there in your house?""","""There are [insert number] bathrooms in my house."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a toilet."""
VISUAL 4 - UNIT 3,"""Where is the boy?""","""The boy is on the toilet."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a wash basin."""
VISUAL 4 - UNIT 3,"""Where is the cat?""","""The cat is on the wash basin."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a shower."""
VISUAL 4 - UNIT 3,"""What is he doing?""","""He is having a shower."""
VISUAL 4 - UNIT 3,"""Where is the mushroom?""","""The mushroom is under the shower."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a bath."""
VISUAL 4 - UNIT 3,"""What is the dog doing?""","""The dog is having a bath."""
VISUAL 4 - UNIT 3,"""Do you prefer a bath or a shower?""","""I prefer a bath."" / ""I prefer a shower."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a bathroom."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a bedroom."""
VISUAL 4 - UNIT 3,"""How many bedrooms are there in your home?""","""There are [insert number] bedrooms in my home."""
VISUAL 4 - UNIT 3,"""Is your bedroom tidy or untidy?""","""My bedroom is tidy."" / ""My bedroom is untidy."""
VISUAL 4 - UNIT 3,"""What is she doing in the bedroom?""","""She is sleeping."""
VISUAL 4 - UNIT 3,"""What is she doing in the bedroom?""","""She is eating."""
VISUAL 4 - UNIT 3,"""What is she doing in the bedroom?""","""She is exercising."""
VISUAL 4 - UNIT 3,"""What is she doing in the bedroom?""","""She is reading."""
VISUAL 4 - UNIT 3,"""What is he doing in the bedroom?""","""He is surfing the net."""
VISUAL 4 - UNIT 3,"""Do you have a TV in your bedroom?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a bedroom—a bed?""","""You can see a bed in a bedroom."""
VISUAL 4 - UNIT 3,"""Is your bed big or small?""","""My bed is big."" / ""My bed is small."""
VISUAL 4 - UNIT 3,"""Do you like this bed?""","""Yes, I like this bed."" / ""No, I don’t like this bed."""
VISUAL 4 - UNIT 3,"""What can you see in a bedroom—a wardrobe?""","""You can see a wardrobe in a bedroom."""
VISUAL 4 - UNIT 3,"""Do you have a wardrobe in your bedroom?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a bedroom—a chest of drawers?""","""You can see a chest of drawers in a bedroom."""
VISUAL 4 - UNIT 3,"""Do you have a chest of drawers in your bedroom?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a bedroom—bookshelves?""","""You can see bookshelves in a bedroom."""
VISUAL 4 - UNIT 3,"""Do you have bookshelves in your bedroom?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Can you point in the picture where the bed, bedside table, desk, mirror, window, plant, carpet, and bin are?""", 
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a bedroom."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a living room."""
VISUAL 4 - UNIT 3,"""Do you have a living room in your house?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Do you have a TV in your living room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a living room—a sofa?""","""You can see a sofa in a living room."""
VISUAL 4 - UNIT 3,"""Do you have a sofa in your living room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What color is your sofa in the living room?""","""My sofa is [insert color]."""
VISUAL 4 - UNIT 3,"""Do you have a big or small sofa in your bedroom?""","""I have a big sofa."" / ""I have a small sofa."""
VISUAL 4 - UNIT 3,"""What do you think of this egg-shaped sofa—cool or uncool?""","""I think this egg-shaped sofa is cool."" / ""I think this egg-shaped sofa is uncool."""
VISUAL 4 - UNIT 3,"""What can you see in a living room—an armchair?""","""You can see an armchair in a living room."""
VISUAL 4 - UNIT 3,"""Do you have an armchair in your living room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""How many armchairs are in your living room?""","""There are [insert number] armchairs in my living room."""
VISUAL 4 - UNIT 3,"""What can you see in a living room—a coffee table?""","""You can see a coffee table in a living room."""
VISUAL 4 - UNIT 3,"""Do you have a coffee table in your living room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a living room—a bookcase?""","""You can see a bookcase in a living room."""
VISUAL 4 - UNIT 3,"""Do you have a bookcase in your living room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a living room."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a dining room."""
VISUAL 4 - UNIT 3,"""Do you have a dining room in your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Where are they eating?""","""They are eating in the dining room."""
VISUAL 4 - UNIT 3,"""Do you eat in the dining room?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a dining room—tables and chairs?""","""You can see tables and chairs in a dining room."""
VISUAL 4 - UNIT 3,"""What can you see in a dining room—a clock?""","""You can see a clock in a dining room."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a dining room."""
VISUAL 4 - UNIT 3,"""Do you have a kitchen in your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a kitchen—a fridge?""","""You can see a fridge in a kitchen."""
VISUAL 4 - UNIT 3,"""Do you have a fridge in your kitchen?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a kitchen—a dishwasher?""","""You can see a dishwasher in a kitchen."""
VISUAL 4 - UNIT 3,"""Do you have a dishwasher in your kitchen?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a kitchen—a cooker?""","""You can see a cooker in a kitchen."""
VISUAL 4 - UNIT 3,"""Do you have a cooker in your kitchen?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What type of cooker do you have—gas, electric, or induction?""","""I have a gas cooker."" / ""I have an electric cooker."" / ""I have an induction cooker."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a kitchen."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a hall."""
VISUAL 4 - UNIT 3,"""Do you have a hall in your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in a hall—a shoe cupboard?""","""You can see a shoe cupboard in a hall."""
VISUAL 4 - UNIT 3,"""Is there a shoe cupboard in your home?""","""Yes, there is a shoe cupboard in my home."" / ""No, there isn’t a shoe cupboard in my home."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a hall."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is an attic."""
VISUAL 4 - UNIT 3,"""Do you have an attic in your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Are there old or new things in your attic?""","""There are old things in my attic."" / ""There are new things in my attic."""
VISUAL 4 - UNIT 3,"""What can you see in the attic—boxes?""","""You can see boxes in the attic."""
VISUAL 4 - UNIT 3,"""Are there boxes in your attic?""","""Yes, there are boxes in my attic."" / ""No, there aren’t boxes in my attic."""
VISUAL 4 - UNIT 3,"""What can you see in the attic—a roof?""","""You can see a roof in the attic."""
VISUAL 4 - UNIT 3,"""Is there a window on your roof in the attic?""","""Yes, there is a window on the roof in my attic."" / ""No, there isn’t a window on the roof in my attic."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is an attic."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a garage."""
VISUAL 4 - UNIT 3,"""Do you have a garage at your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""Is it a big or a small garage?""","""It is a big garage."" / ""It is a small garage."""
VISUAL 4 - UNIT 3,"""What can you see in the garage—a car?""","""You can see a car in the garage."""
VISUAL 4 - UNIT 3,"""How many cars are there in the garage?""","""There are [insert number] cars in the garage."""
VISUAL 4 - UNIT 3,"""What can you see in the garage—tools?""","""You can see tools in the garage."""
VISUAL 4 - UNIT 3,"""Are there tools in your garage?""","""Yes, there are tools in my garage."" / ""No, there aren’t tools in my garage."""
VISUAL 4 - UNIT 3,"""What can you see in the garage—shelves?""","""You can see shelves in the garage."""
VISUAL 4 - UNIT 3,"""Are there shelves in your garage?""","""Yes, there are shelves in my garage."" / ""No, there aren’t shelves in my garage."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a garage."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is a basement."""
VISUAL 4 - UNIT 3,"""Do you have a basement in your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in the basement—a washing machine?""","""You can see a washing machine in the basement."""
VISUAL 4 - UNIT 3,"""Is there a washing machine in your home?""","""Yes, there is a washing machine in my home."" / ""No, there isn’t a washing machine in my home."""
VISUAL 4 - UNIT 3,"""What can you see in the basement—a fusebox?""","""You can see a fusebox in the basement."""
VISUAL 4 - UNIT 3,"""Is there a fusebox in your home?""","""Yes, there is a fusebox in my home."" / ""No, there isn’t a fusebox in my home."""
VISUAL 4 - UNIT 3,"""What can you see in the basement—a boiler?""","""You can see a boiler in the basement."""
VISUAL 4 - UNIT 3,"""Is there a boiler in your home?""","""Yes, there is a boiler in my home."" / ""No, there isn’t a boiler in my home."""
VISUAL 4 - UNIT 3,"""What room is this?""","""This is a basement."""
VISUAL 4 - UNIT 3,"""What is this?""","""This is an office."""
VISUAL 4 - UNIT 3,"""Do you have an office in your home?""","""Yes, I do."" / ""No, I don’t."""
VISUAL 4 - UNIT 3,"""What can you see in the office—a bookcase?""","""You can see a bookcase in the office."""
VISUAL 4 - UNIT 3,"""What do you think of this bookcase?""","""I think this bookcase is nice."" / ""I think this bookcase is not nice."""
VISUAL 4 - UNIT 3,"""What can you see in the office—a plant?""","""You can see a plant in the office."""
VISUAL 4 - UNIT 3,"""Is there a plant in your home?""","""Yes, there is a plant in my home."" / ""No, there isn’t a plant in my home."""
VISUAL 4 - UNIT 3,"""What can you see in the office—a desk?""","""You can see a desk in the office."""
VISUAL 4 - UNIT 3,"""Is there a desk in your home?""","""Yes, there is a desk in my home."" / ""No, there isn’t a desk in my home."""
VISUAL 4 - UNIT 3,"""What is this document?""", 
VISUAL 4 - UNIT 3,"""What is this worksheet about?""", 
